User ID,Total Hours Played
5250,225.5
76767,1227.0000000000002
86540,254.99999999999997
144736,0.1
181212,2.2
229911,390.50000000000006
298950,3745.4
381543,3.0
547685,512.6
554278,281.0
561758,1040.9000000000005
577614,36.0
622362,71.0
635733,0.6
683019,42.9
714122,3.5
748719,1487.2
861238,1.9
871990,134.2
937567,1.4000000000000001
948368,88.5
975449,2164.9999999999973
976129,0.5
983600,55.0
994489,1396.1999999999998
1024319,12.1
1072465,102.7
1129452,671.4
1135775,1.3
1268792,0.5
1364546,553.9
1423371,241.0
1612666,167.10000000000002
1699101,0.5
1713646,0.7
1834453,197.0
1936551,826.3000000000001
1950243,505.40000000000015
2039434,79.3
2083767,469.4000000000001
2110581,292.50000000000006
2184507,6.2
2259650,2067.3999999999987
2428602,474.4
2531540,84.59999999999998
2613043,0.2
2643609,769.5000000000001
2753525,1238.5999999999997
3054990,60.0
3238976,5.5
3244702,68.5
3249166,23.0
3347312,0.8
3449240,2038.8
3450426,2.7000000000000006
3498717,0.2
3527485,529.9
3663009,0.9
3674653,772.0
3747293,8.1
3783783,1460.9
3897969,0.2
3979930,395.5999999999999
4064412,1394.7
4156158,9.7
4325465,0.6
4485779,1697.0
4595423,22.7
4603800,1.6
4677023,2.8
4812175,4.4
4824107,579.5000000000001
4834220,2070.600000000001
4877411,280.8
4897767,1.6
4986667,72.0
5217749,10.8
5220782,80.2
5232588,7.2
5270060,16.3
5307960,4.3
5387470,2401.2
5600822,6.6
5689496,9.9
5759284,10.1
5860071,126.50000000000001
5949488,237.4
5976642,122.5
5990132,538.2000000000004
6144819,507.7
6252885,91.0
6439568,363.40000000000003
6656519,1.6
6717871,339.10000000000014
6820462,9.3
6928806,955.6999999999999
6979578,118.3
7015471,660.1
7020135,353.7
7094039,1.6
7163917,64.2
7203603,1431.9
7249363,54.2
7273540,541.0
7418489,330.40000000000003
7431946,670.2999999999998
7440594,1207.7000000000007
7519923,35.0
7527129,1.1
7585698,0.5
7736384,671.0
7757631,94.0
7907686,682.6999999999997
7923954,0.3
7955670,3927.9
8013465,3.9
8100868,10.2
8259307,126.10000000000001
8277694,1.3
8311704,25.0
8334557,0.2
8542204,284.09999999999997
8567888,1.3
8585433,5856.600000000001
